Unnamed: 0,words,Kana
66,α,
173,EV/EBITDA倍率,
180,ウィルシャー5000,
246,S＆Pケース・シラー住宅指数,
248,ＳＴ倍率,
285,大型株、中型株、小型株,
337,海外M&A,
375,格付投資情報センター（R&I）,
405,CAC40指数,
481,為替レート（360円からの円高の歩み）,
560,規則144A,
587,ＱＥ２,
679,くりっく365,
725,景気ウォッチャ―調査（街角景気）,
752,決定係数（R2）,
1022,財務４表,
1252,事業再生ＡＤＲ,
1341,人生100年時代,
1560,短観加重平均D.I.,
1584,第1号被保険者,
1585,第2号被保険者,
1586,第3号被保険者,
1587,第一部市場、第二部市場,
1607,第4次産業革命,
1609,ダウ工業株30種平均,
1677,Tier1（基本的項目）,
1751,出来高10位占有率,
1775,電子申告（e-Tax）,
1784,東京ゴールドスポット100（金限日取引）,
1823,東証配当フォーカス100指数,
1925,ナスダック100指数,
1948,日経225オプション取引,
1949,日経225採用銘柄,
1950,日経225先物取引,
1951,日経225mini,
1952,日経300先物取引,
1953,日経アジア300ＡＳＥＡＮ指数,
1954,日経アジア300インベスタブル指数,
1955,日経アジア300指数,
1956,日経株価指数300,
1962,日経225　Weeklyオプション,
1966,日経平均高配当株50指数,
1991,日本版401(k),
2031,NOMURA-BPI,
2120,バーゼル３,
2121,バーゼル２,
2176,ビットコインキャッシュ(BCH),
2245,フラジャイル5,
2247,フラット35,
2248,フラット35（借換融資）,
2249,フラット35（保証型）,
2342,米連邦破産法11条,
2356,β,
2583,(預金)歩留まり率,
2610,ラッセル1000,
2765,106万円の壁,
2766,13WMA,
2767,216の法則,
2768,25DMA,
2769,26WMA,
2770,401(k)プラン,
2771,5DMA,
2772,5%ルール（株券の大量保有に関する）,
2773,5%ルール（独占禁止法の）,
2774,72の法則,
2808,1カイ2ヤリ,
2809,1月効果,
2810,1通貨単位,
2839,S&P/JPX 配当貴族指数,
2840,S&P,
2841,S&P/JPXカーボン・エフィシェント指数,
2842,S&P/JPX 日本国債VIX指数,
2854,S&P500,
2855,SFAS160,
2874,FTSE100,
2875,M＆A,
2876,M&Aレシオ,
2884,M3,
2894,L.P.,
2910,OTC ブリティンボード (OTCBB),
2914,QE３,
2917,Q-BOARD,
2930,5月に売り逃げろ,
2946,CORRA(カナダ銀行間オーバーナイト・レポ金利 ）,
2954,CDOR(カナダ銀行間取引金利）,
2959,J-Stock Index,
2961,J-REIT,
2962,J-IRISS,
2963,JPX/S&P 設備・人材投資指数,
2964,JPX日経インデックス400,
2970,G8,
2982,G20,
2986,3CE,
2998,Tier2（補完的項目）,
3006,TPP11,
3007,T+2,
3022,TOKYO PRO-BOND MARKET,
3024,TOPIX 1000,
3025,TOPIX 100,
3026,TOPIX 500,
3027,TOPIX Core30,
3028,TOPIX高配当40指数,
3029,TOPIX Small500,
3032,TOPIX Mid400,
3033,TOPIX Large70,
3037,NYSE FANG+指数,
3056,P2Pレンディング,
3069,PML（Probable　Maximum　Loss）,
3078,FANG+,
3082,2日新甫は荒れる,
3088,put-through,
3096,MiFID ２,
3099,EURO STOXX 50,
