Unnamed: 0,words,Kana
0,ＩＦＡ,
1,ＩＳＩＮコード,
4,ＩＴＭ,
5,ＩＰＯ,
6,ＩＶ,
32,Ａｍｅｘ,
42,α（アルファ）値,
54,ＲＳＩ,
55,ＲＯＩ,
56,ＲＯＩＣ,
57,ＲＯＥ,
58,ＲＯＡ,
59,ＲＣＩ,
60,ＲＴＳ指数,
63,イスタンブール100,
64,ＩＳＤＡ,
73,1カイ2ヤリ,
111,ＥＳＧ投資,
112,ＥＣＮ,
113,ＥＢ債,
114,ＥＰＳ,
159,ＨＦＴ,
160,ＨＶ,
164,ＳＭＡ,
165,ＳＯＲ注文,
166,ＳＱ,
167,ＳＴ指数,
168,Ｓ＆Ｐ500,
169,ＮＴ倍率,
170,ＮＹＳＥ,
171,ＦＴＳＥ全世界株価指数,
172,ＦＴＳＥ100指数,
173,ＦＴ100,
174,ＦＤルール,
176,ＭＳＣＩエマージング・マーケット・インデックス,
177,ＭＳＣＩ－ＫＯＫＵＳＡＩ指数,
178,ＭＳＣＩ指数,
179,ＭＳＣＩ世界株価指数,
180,ＭＳＣＢ,
181,ＭＰＯ,
185,ＡＴＭ,
186,ＡＤＲ,
226,ＯＴＭ,
227,ＯＴＣ,
280,ＣＡＣ４０指数,
332,下方修正条項付きＣＢ,
395,Q-Board,
427,ＱＵＩＣＫコンセンサス,
539,5％ルール,
589,ＳＵＮＲＩＳＥ,
644,上海Ａ株指数,
647,上海Ｂ株指数,
682,シラーＰＥＲ,
703,深センＢ株,
708,新値3本足,
720,ＣＦＤ,
721,ＣＦＰＳ,
722,ＣＧコード,
724,ＣＢ,
726,Ｊ－ＮＥＴ取引,
727,ＪＳＣＣ,
728,ＪＤＲ,
729,ＪＰＸ,
730,ＪＰＸ日経400,
766,ジュニアＮＩＳＡ,
788,ＧＤＲ,
789,ＧＰＩＦ,
795,スタンダード・アンド・プアーズ500種指数,
806,ＳＰＡＮ,
807,ＳＰＡＮ証拠金額,
812,スマートβ,
814,スマートβ運用,
842,ＳＥＮＳＥＸ30指数,
924,ダウ工業株30種平均,
930,ＤＡＸ,
931,ＤＡＸ指数,
932,ＷＭＡ,
968,つみたてＮＩＳＡ,
980,ＴＯＢ,
981,ＴＤｎｅｔ,
982,Ｔプラス2,
983,Ｔ＋2,
989,敵対的ＴＯＢ,
1015,ＤＲ,
1016,ＤＳＡ,
1017,ＤＭＡ,
1018,ＤＯＥ,
1019,ＤＤＭ,
1020,ＤＰＳ,
1049,東証2部株価指数,
1050,東証配当フォーカス100指数,
1074,ＴＯＰＩＸ,
1075,ＴＯＰＩＸ Core30,
1076,ＴＯＰＩＸ1000,
1077,ＴＯＰＩＸニューインデックスシリーズ,
1078,ＴＯＰＩＸ１００,
1080,トヨタ自動車第1回ＡＡ型種類株式,
1128,日経株価指数300,
1131,日経225　Ｗｅｅｋｌｙオプション,
1133,日経平均高配当株５０指数,
1146,ＮＩＳＡ,
1232,ＶａＲ,
1256,1株当たりキャッシュフロー,
1258,1株当たり純資産,
1260,1株当たり利益,
1271,ＶＩＸ指数,
1273,ＢＰＳ,
1274,ＰＥＲ,
1275,ＰＳＩ20指数,
1276,ＰＳＲ,
1278,ＰＣＦＲ,
1279,ＰＴＳ,
1280,ＰＢＲ,
1281,5ＤＭＡ,
1310,ＶＷＡＰ,
1345,β（ベータ）値,
1348,ＰＥＧレシオ,
1388,ＭＡＣＤ,
1453,ユーロ・ストックス５０,
1458,予想ＰＥＲ,
1470,4本値,
1475,ラッセル2000,
1527,ＩＲＳ,
1528,ＩＦＡ,
1529,ＩＳＩＮコード,
1530,ＩＴＭ,
1531,ＩＶ,
1552,Ｒ＆Ｉ,
1553,ＲＭＢＳ,
1554,ＲＴＧＳ,
1555,ＥＯＮＩＡ,
1556,ＩＳＤＡ,
1577,ＥＴＮ,
1578,ＥＴＰ,
1579,ＥＢ債,
1597,ＨＶ,
1599,Ｓ＆Ｐ,
1600,ＳＭＡ,
1601,ＮＣＤ,
1602,ＦＲＡ,
1603,ＦＦ金利,
1604,ＦＴＳＥ世界国債インデックス,
1605,ＦＢ,
1607,ＭＲＦ,
1608,ＭＳＣＢ,
1609,ＭＭＦ,
1610,ＭＴＮ,
1611,ＭＢＳ,
1617,ＡＴＭ,
1618,ＡＢＳ,
1632,ＯＩＳ,
1633,ＯＴＭ,
1666,下方修正条項付きＣＢ,
1697,ＣＡＴボンド,
1699,ＣＡＰ,
1708,ＱＥ,
1850,ＳＨＩＢＯＲ,
1893,ＣＦＤ,
1894,ＣＭＢＳ,
1895,ＣＬＯ,
1896,ＣＤ,
1897,ＣＤＯ,
1898,ＣＢ,
1899,ＣＢＯ,
1900,ＣＰ,
1901,Ｊ－ＮＥＴ取引,
1902,ＪＰモルガンＧＢＩ‐ＥＭグローバル・ダイバーシファイド,
1903,ＪＳＣＣ,
1904,ＪＣＲ,
1905,ＪＰＸ,
1933,ＳＰＡＮ,
1934,ＳＰＡＮ証拠金額,
1970,ＴＩＢＯＲ,
2013,ＴＦＸ,
2014,T-Bill,
2015,ＴＢ,
2016,Ｔプラス2,
2017,Ｔ＋2,
2018,ＴＬＡＣ債,
2050,TOKYO PRO-BOND Market,
2110,ＮＯＭＵＲＡ－ＢＰＩ,
2111,ＮＯＭＵＲＡ－ＢＰＩ総合指数,
2114,ＨＩＢＯＲ,
2130,ＶａＲ,
2131,ＶａＲショック,
2154,ＢＢ,
2156,ＰＴＳ,
2157,5ＤＭＡ,
2175,フラット35,
2179,ＦＬＯＯＲ,
2209,ｂｐ,
2250,ユーロ円3カ月先物,
2259,4本値,
2261,ＬＩＢＯＲ,
2266,リキャップＣＢ,
2323,ＩＣＯ,
2324,ＩＶ,
2331,ＩＳＤＡ,
2354,ＨＶ,
2355,ＳＭＡ,
2356,ＮＤＦ,
2357,ＦＸ,
2359,ＭＭＴ,
2496,新値3本足,
2497,ＣＦＤ,
2498,ＪＳＣＣ,
2509,ＳＰＡＮ,
2510,ＳＰＡＮ証拠金額,
2534,ＷＭＡ,
2549,ＴＦＸ,
2550,ＴＴＳ,
2551,ＴＴＭ,
2552,ＴＴＢ,
2553,Ｔプラス2,
2554,Ｔ＋2,
2558,ＤＭＡ,
2613,ｐｉｐｓ,
2615,5ＤＭＡ,
2654,ＭＡＣＤ,
2671,4本値,
2696,ＩＳＩＮコード,
2705,α（アルファ）値,
2710,ＲＲ分類,
2711,Ｒ2,
2714,ｉＤｅＣｏ,
2716,ｉＤｅＣｏ＋,
2718,インディカティブＮＡＶ,
2727,ＥＴＦ,
2728,ＥＴＣ,
2729,ＥＴＰ,
2740,ＳＲＩファンド,
2741,Ｓ＆Ｐ新興国ＲＥＩＴ指数,
2742,Ｓ＆Ｐ先進国ＲＥＩＴ指数,
2743,ＦＦＯ,
2744,ＦＴＳＥ世界国債インデックス,
2746,ＭＲＦ,
2747,ＭＳＣＩエマージング・マーケット・インデックス,
2748,ＭＳＣＩ－ＫＯＫＵＳＡＩ指数,
2749,ＭＳＣＩ指数,
2750,ＭＭＦ,
2751,ＭＬＰ,
2759,海外ＥＴＦ,
2780,外貨建てＭＭＦ,
2789,企業型ＤＣ,
2790,企業型401ｋ,
2794,共通ＫＰＩ,
