Unnamed: 0,words,Kana
0,ＩＦＡ,
1,ＩＳＩＮコード,
2,相対取引,ソウタイトリヒキ
3,相対売買,ソウタイバイバイ
4,ＩＴＭ,
5,ＩＰＯ,
6,ＩＶ,
7,アウト・オブ・ザ・マネー,アウト・オブ・ザ・マネー
8,青空天井,アオゾラテンジョウ
9,青空銘柄,アオゾラメイガラ
10,青天井,アオテンジョウ
11,赤三兵,アカサンペイ
12,悪材料,アクザイリョウ
13,アクティビスト,アクティビスト
14,アクティブ運用,アクティブウンヨウ
15,アク抜け,アクヌケ
16,上げ足,アゲアシ
17,上げ一服,アゲイップク
18,上げ賛成,アゲサンセイ
19,足どり,アシドリ
20,味付け買い,アジツケカイ
21,アスク,アスク
22,アセット・アロケーション,アセット・アロケーション
23,頭打ち,アタマウチ
24,当たり屋,アタリヤ
25,当たる,アタル
26,アット・ザ・マネー,アット・ザ・マネー
27,アップ率,アップリツ
28,アナリスト,アナリスト
29,アナリストリポート,アナリストリポート
30,アノマリー,アノマリー
31,甘い,アマイ
32,Ａｍｅｘ,
33,アメリカンタイプオプション,アメリカンタイプオプション
34,アヤ,アヤ
35,アヤ押し,アヤオシ
36,アヤ戻し,アヤモドシ
37,歩み,アユミ
38,歩み値,アユミアタイ
39,アルゴリズム高速取引,アルゴリズムコウソクトリヒキ
40,アルゴリズム取引,アルゴリズムトリヒキ
41,アルゴリズムトレード,アルゴリズムトレード
42,α（アルファ）値,
43,アローヘッド,アローヘッド
44,アンダーウエート,アンダーウエート
45,アンダーライター,アンダーライター
46,アンダーライティング,アンダーライティング
47,安定株,アンテイカブ
48,安定株主,アンテイカブヌシ
49,安定操作,アンテイソウサ
50,安定配当,アンテイハイトウ
51,アンビシャス,アンビシャス
52,アンワインド,アンワインド
53,アービトラージ,アービトラージ
54,ＲＳＩ,
55,ＲＯＩ,
56,ＲＯＩＣ,
57,ＲＯＥ,
58,ＲＯＡ,
59,ＲＣＩ,
60,ＲＴＳ指数,
61,異彩高,イサイタカ
62,異彩安,イサイアン
63,イスタンブール100,
64,ＩＳＤＡ,
65,板,イタ
66,委託証拠金,イタクショウコキン
67,委託手数料,イタクテスウリョウ
68,委託売買,イタクバイバイ
69,委託保証金,イタクホショウキン
70,委託保証金維持率,イタクホショウキンイジリツ
71,委託保証金率,イタクホショウキンリツ
72,板寄せ,イタヨセ
73,1カイ2ヤリ,
74,一巡,イチジュン
75,一段高,イチダンタカ
76,一段安,イチダンアン
77,一番底,イチバンソコ
78,一番天井,イチバンテンジョウ
79,一目均衡表,イチモクキンコウオモテ
80,一高一低,イチコウイチテイ
81,一手売り,イッテウリ
82,一手買い,イッテカイ
83,いってこい,イッテコイ
84,一般気配,イッパンケハイ
85,一般信用取引,イッパンシンヨウトリヒキ
86,一服,イップク
87,一本線,イッポンセン
88,一本値,イッポンアタイ
89,移動平均乖離率,イドウヘイキンカイリリツ
90,移動平均線,イドウヘイキンセン
91,イナゴ投資家,イナゴトウシカ
92,イベント・ドリブン,イベント・ドリブン
93,イベント・リスク,イベント・リスク
94,嫌気,イヤケ
95,いや気売り,イヤキウリ
96,いや気投げ,イヤキナゲ
97,イレ,イレ
98,インカムゲイン,インカムゲイン
99,因果玉,インガタマ
100,インサイダー取引,インサイダートリヒキ
101,陰線,インセン
102,インターネット証券,インターネットショウケン
103,インターネットブローカー,インターネットブローカー
104,インターマーケットスプレッド取引,インターマーケットスプレッドトリヒキ
105,インデックス,インデックス
106,インデックス運用,インデックスウンヨウ
107,インデックス売買,インデックスバイバイ
108,インプライドボラティリティー,インプライドボラティリティー
109,陰陽足,インヨウアシ
110,イン・ザ・マネー,イン・ザ・マネー
111,ＥＳＧ投資,
112,ＥＣＮ,
113,ＥＢ債,
114,ＥＰＳ,
115,イールドスプレッド,イールドスプレッド
116,イールドレシオ,イールドレシオ
117,ウォール街,ウォールマチ
118,受渡し,ウケワタシ
119,受渡決済,ウケワタシケッサイ
120,受渡決済値段,ウケワタシケッサイネダン
121,受渡適格銘柄,ウケワタシテキカクメイガラ
122,受渡日,ウケワタシニチ
123,薄商い,ハクアキナイ
124,内出来,ウチデライ
125,生まれ値,ウマレアタイ
126,埋める,ウメル
127,売り上がり,ウリアガリ
128,売り飽き,ウリアキ
129,売り浴びせ,ウリアビセ
130,売り安心,ウリアンシン
131,売り一巡,ウリイチジュン
132,売り一服,ウリイップク
133,売方,バイホウ
134,売り玉,ウリタマ
135,売り崩し,ウリクズシ
136,売り気配,ウリケハイ
137,売り越し,ウリコシ
138,売り材料,ウリザイリョウ
139,売り残,ウリザン
140,売残高,バイザンダカ
141,売り出し,ウリダシ
142,売り建玉,ウリタテギョク
143,売りつなぎ,ウリツナギ
144,売り手市場,ウリテシジョウ
145,売り手控え,ウリテヒカエ
146,売り特別気配,ウリトクベツケハイ
147,売り直し,ウリナオシ
148,売り抜け,ウリヌケ
149,売り乗せ,ウリノセ
150,売り場,ウリバ
151,売り向かう,ウリムカウ
152,上影,ウエカゲ
153,上ザヤ,ウエザヤ
154,上放れ,ウエホウレ
155,上値,ウワネ
156,上値が重い,ウワネガオモイ
157,上値抵抗線,ウワネテイコウセン
158,上ヒゲ,ウエヒゲ
159,ＨＦＴ,
160,ＨＶ,
161,益利回り,マスリマワリ
162,エクイティファイナンス,エクイティファイナンス
163,エクスワラント,エクスワラント
164,ＳＭＡ,
165,ＳＯＲ注文,
166,ＳＱ,
167,ＳＴ指数,
168,Ｓ＆Ｐ500,
169,ＮＴ倍率,
170,ＮＹＳＥ,
171,ＦＴＳＥ全世界株価指数,
172,ＦＴＳＥ100指数,
173,ＦＴ100,
174,ＦＤルール,
175,エマージング市場,エマージングシジョウ
176,ＭＳＣＩエマージング・マーケット・インデックス,
177,ＭＳＣＩ－ＫＯＫＵＳＡＩ指数,
178,ＭＳＣＩ指数,
179,ＭＳＣＩ世界株価指数,
180,ＭＳＣＢ,
181,ＭＰＯ,
182,エリオット波動理論,エリオットハドウリロン
183,円高,エンダカ
184,円安,エンヤス
185,ＡＴＭ,
186,ＡＤＲ,
187,追い証,オイショウ
188,黄金株,オウゴンカブ
189,往来相場,オウライソウバ
190,大商い,ダイショウイ
191,大商い株,ダイショウイカブ
192,大株主,オオカブヌシ
193,大型株,オオガタカブ
194,大口,オオグチ
195,大口取引,オオグチトリヒキ
196,大阪証券取引所,オオサカショウケントリヒキジョ
197,大阪取引所,オオサカトリヒキジョ
198,大底,オオゾコ
199,大台,オオダイ
200,大天井,ダイテンジョウ
201,大引け,オオビケ
202,大引足,オオビキアシ
203,お化粧買い,オケショウカイ
204,押し目,オシメ
205,オシレーター,オシレーター
206,押す,オス
207,踊り場,オドリバ
208,オフショア市場,オフショアシジョウ
209,オプション価格,オプションカカク
210,オプション取引,オプショントリヒキ
211,オプション料,オプションリョウ
212,思惑買い,オモワクカイ
213,親株,オヤカブ
214,親会社,オヤガイシャ
215,親引け,オヤヒケ
216,親不孝相場,オヤフコウソウバ
217,織り込み済み,オリコミスミ
218,オルタナティブ投資,オルタナティブトウシ
219,終値,オワリネ
220,終値関与,オワリネカンヨ
221,オンショア市場,オンショアシジョウ
222,オンライン証券,オンラインショウケン
223,オンラインブローカー,オンラインブローカー
