,words
0,ISM製造業景況感指数
1,アイザーウェイ
2,相対売買
3,アイディアソン
4,アイランドリバーサル
5,アイ・トラックス・ジャパン
6,アウトパフォーム
7,アウトライト取引
8,アウトルック
9,アウト・オブ・ザ・マネー
10,青空銘柄
11,青天井
12,アカウンタビリティ
13,赤三兵
14,赤字国債
15,空き家対策特別措置法
16,アキュムレーション
17,悪材料
18,アクチュアリー
19,アクティビスト
20,アクティビスト・ファンド
21,アクティブ運用
22,アクティブファンド
23,アクティブリターン
24,あく抜け
25,アクハイヤー
26,悪目買い
27,アクリーション
28,アクルーアル
29,アグフレーション
30,上げ足
31,揚超
32,アコード
33,足どり
34,アジアインフラ投資銀行
35,アジア欧州会合
36,アジア開発銀行
37,アジア地域ファンドパスポート
38,アセットアロケーション
39,アセットオーナー
40,アセットクラス
41,アセットスワップ
42,アセットマネジャー
43,頭打ち
44,当（た）り屋
45,アット・ザ・マネー
46,アップ率
47,後入先出法
48,アナリスト
49,アニュアルレポート
50,アノマリー
51,アフターアワー
52,アフリカ開発会議
53,アフリカ開発銀行
54,アベノミクス
55,甘い
56,アマゾンエフェクト
57,アマゾン恐怖銘柄指数
58,アメリカンタイプ
59,アモチゼーション
60,あや
61,あやおし
62,あや戻し
63,歩み値
64,アルゴリズム取引
65,アルトコイン
66,α
67,アレンジャー
68,アンカリング
69,暗号資産
70,アンダーウェイト
71,アンダーパフォーム
72,アンダーライター
73,アンダーライティング
74,安定株主
75,安定操作
76,安定調達比率
77,安定配当
78,アンビシャス
79,アンブレラ型投資信託
80,アンワインド
81,アーニングサプライズ
82,アービトラージャー
83,RR分類
84,イエレン・ダッシュボード
85,EONIA（ユーロ圏無担保翌日物平均金利）
86,移管
87,異彩高
88,異彩安
89,遺産整理業務
90,遺産分割協議書
91,遺産分割協議
92,イスラム金融
93,イスラム債
94,遺贈
95,遺族基礎年金
96,委託会社
97,委託者指図型投資信託
98,委託者非指図型投資信託
99,委託者報酬
100,委託者
101,委託手数料
102,委託売買
103,委託保証金
104,板寄せ売買
105,板
106,一段高
107,一段安
108,一年基準
109,一番底
110,一番天井
111,一目均衡表
112,一覧払輸出手形買相場
113,一覧払輸入手形決済相場
114,一括投資
115,一帯一路
116,一致指数
117,往って来い
118,一般会計
119,一般勘定
120,一般競争入札
121,一般コース
122,一般信用取引
123,一般担保付社債
124,一服
125,一本値
126,移転価格税制
127,移動平均乖離率
128,移動平均線
129,イナゴ投資家
130,委任状闘争
131,IFRS
132,イブニングセッション
133,イベント・ドリブン
134,イミュニゼーション
135,嫌気
136,依頼格付け
137,遺留分減殺請求
138,遺留分
139,インカムアプローチ
140,インカムゲイン
141,因果玉
142,インサイダー取引
143,インシュアテック
144,インセンティブストックオプション
145,姻族
146,インタレストカバレッジレシオ
147,インターコンチネンタル取引所
148,インターネット証券
149,インターバンク市場
150,インディカティブNAV
151,インデックス運用
152,インデックスファンド
153,インデックス
154,インバウンド消費
155,インバージョン（租税地変換）
156,インバース型上場投資信託
157,インパクト投資
158,インフォメーションレシオ
159,インフラ関連株ファンド
160,インフレギャップ
161,インフレターゲット
162,インフレヘッジ
163,インフレリスク
164,インフレ連動債
165,インフレーション
166,インプライドボラティリティ
167,インベスターリターン
168,インベストメントチェーン
169,インボイス
170,陰陽線
171,イン・ザ・マネー
172,イーサリアム
173,EV/EBITDA倍率
174,イールドカーブ
175,イールドカーブ・コントロール
176,イールドスプレッド
177,イールドダッチ方式
178,イールドレシオとイールドスプレッド
179,イールドレシオ
180,ウィルシャー5000
181,ウィンブルドン現象
182,ウォレット
183,ウォール街
184,ウォーレン・バフェット
185,受取手形
186,受渡日
187,受渡し
188,薄商い
189,内枠方式
190,埋める
191,売上債権回転率
192,売上総利益
193,売上高経常利益率
194,売上高原価率
195,売上高成長率
196,売上高販管費率
197,売掛金
198,売掛債権
199,売り方
200,売り崩し
201,売り気配
202,売り越し
203,売りたい強気
204,売出し
205,売り建て玉
206,売り抜け
207,売り値
208,売り乗せ
209,売るべし売るべからず
210,上値が重い
211,上値
212,運営管理機関
213,運用関連業務
214,運用会社
215,運用指図
216,運用スタイル
217,運用対象
218,運用報告書
219,運用報酬
220,運用方針
221,運用レポート
222,ALM
223,永久債
224,永久資産
225,永久劣後債
226,営業外収益
227,営業キャッシュフロー
228,営業循環基準
229,営業毎旬報告
230,営業利益
231,英国銀行協会
232,HFRXグローバル・ヘッジファンド・インデックス
233,益金不算入制度
234,益出し
235,益利回り
236,エクイティファイナンス
237,エクスポージャー
238,エクスワラント
239,エクセスリターン
240,エコカー減税
241,エコノミスト
242,エコノミックサプライズ指数
243,エコファンド
244,エコ・ファースト制度
245,エシカルファンド（道徳ファンド）
246,S＆Pケース・シラー住宅指数
247,SEC基準
248,ＳＴ倍率
249,EDINET
250,NT倍率
251,FX取引
252,FFレート
253,エマージング市場
254,MSCI指数
255,MM理論
256,エリオット波動
257,ERISA法
258,円貨建て債券
259,エンゲージメント
260,縁故地方債
261,エンジェル税制
262,エンジェル
263,円短期運用
264,円高
265,円建外債
266,エンディングノート
267,エンハンスト・インデックス運用
268,エンベディッドバリュー
269,エンベロープ
270,円安圧力
271,円安
272,エージェンシー取引
273,エージェント
274,追い証
275,オイルマネー
276,黄金株
277,黄金分割比率
278,欧州金融安定基金
279,欧州経済共同体
280,欧州通貨制度
281,欧州通貨単位
282,欧州連合
283,応募者利回り
284,大株主
285,大型株、中型株、小型株
286,大口取引
287,大阪取引所
288,大底
289,大台
290,大手証券
291,大天井
292,大引け
293,億り人
294,お化粧買い
295,押し目買い
296,押し目待ちに押し目なし
297,オシレーター
298,落ちてくるナイフはつかむな
299,踊り場
300,オバマケア
301,オフィス空室率
302,オフショア市場
303,オフショア人民元市場
304,オフバランスシート
305,オプション取引
306,オプション
307,オペレーショナルインテリジェンス
308,オムニチャネル
309,主な意見
310,思惑買い
311,親会社
312,親引け
313,オライオン
314,織込み済み
315,オリジネーター
316,オルタナティブ投資
317,卸売物価指数
318,終値関与
319,終値
320,オンショア市場
321,オーダードリブン
322,オーバーアロットメント
323,オーバーウェイト
324,オーバーシュート型コミットメント
325,オーバーシュート
326,オープンイノベーション
327,オープンエンド型投資信託
328,オールインコスト
329,オールドエコノミー
330,証券用語解説集
331,買い上がり
332,買いあき
333,買入消却
334,買掛金
335,買掛債務
336,買い方
337,海外M&A
338,海外直接投資
339,回帰トレンド
340,回帰分析
341,会計基準
342,買い気配
343,買い越し
344,買い下がり
345,買い支え
346,会社開示書類の電子化
347,会社型投資信託
348,会社更生法
349,会社分割
350,会社法
351,会社役員賠償責任保険
352,買いたい弱気
353,買い建て玉
354,買付手数料
355,回転日数
356,買取請求（株式）
357,買取請求（投資信託）
358,介入
359,買い値
360,買い乗せ
361,買増請求制度
362,買増制度
363,買い持ち
364,買い戻し
365,解約請求（投資信託）
366,乖離率
367,買うべし買うべからず
368,カウリ債
369,カウンターパーティリスク
370,顔合せ
371,価格変動リスク
372,価格優先の原則
373,かぎ足
374,格付け会社
375,格付投資情報センター（R&I）
376,格付マトリクス
377,格付け（信用格付け）
378,確定給付企業年金
379,確定給付年金
380,確定拠出年金規約
381,確定拠出年金
382,確定申告
383,確定年金
384,確定利付債
385,格安スマートフォン
386,家計調査
387,貸株市場
388,貸株注意喚起銘柄
389,貸株超過銘柄
390,貸株停止銘柄
391,貸株申込制限銘柄
392,貸株
393,貸倒引当金
394,貸出支援基金
395,貸付金
396,加重平均
397,過剰債務
398,カスタマーサイド
399,カストディアン
400,課税標準
401,仮想通貨法
402,仮装売買
403,片端入れ
404,カタリスト
405,CAC40指数
406,カットオフタイム
407,カバードコール
408,カバードプット
409,カバードボンド（債権担保付き社債）
410,カバードワラント
411,株価維持政策
412,株価位置
413,株価固定
414,株価指数オプション取引
415,株価指数
416,株価指標
417,株価
418,株券オプション取引
419,株券失効制度
420,株券電子化
421,株券不発行制度
422,株券
423,株式移転
424,株式益利回り
425,株式会社
426,株式給付信託
427,株式交換
428,株式先物取引
429,株式市場
430,株式消却
431,株式等受渡請求
432,株式投資信託
433,株式投資のリスクとリターン
434,株式投資のリスク
435,株式等振替制度
436,株式のリスクプレミアム
437,株式分割
438,株式併合
439,株式無償割当て
440,株式持ち合い
441,株式累積投資
442,株式ロングショート
443,株式
444,株主還元
445,株主資本回転率
446,株主資本コスト
447,株主資本配当率
448,株主資本
449,株主総会
450,株主提案権
451,株主の権利
452,株主名簿管理人
453,株主名簿
454,株主優待
455,株主
456,貨幣数量説
457,下方修正
458,カマコンバレー
459,空売り規制
460,空売り比率
461,空売り
462,借入金
463,借換債
464,仮需
465,仮条件
466,カルテル
467,カルパース
468,カレンシースワップ
469,為替オーバーレイ運用
470,為替感応度
471,為替差損益
472,為替操作国
473,為替相場の企業業績への影響
474,為替相場の経済への影響
475,為替の経常的取引
476,為替の資本移動に伴う売買
477,為替ヘッジ
478,為替報告書
479,為替リスク
480,為替レート
481,為替レート（360円からの円高の歩み）
482,為替
483,換価分割
484,カンガルー債
485,環境債
486,換金
487,監査意見
488,監査等委員会設置会社
489,監査報酬
490,監査法人ガバナンスコード
491,監査法人
492,監査役
493,閑散相場
494,閑散に売りなし
495,感謝祭
496,幹事証券会社
497,官製相場
498,間接金融
499,完全雇用
500,完全失業率
501,関東・甲信インデックス
502,カントリーアロケーション
503,カントリーファンド
504,カントリーリスク
505,官民ファンド
506,監理銘柄
507,関連会社
508,カーブアウト
509,カーボンニュートラル
510,カーボンフットプリント
511,カーボンリサイクル
512,外貨準備高
513,外貨建てMMF
514,外貨建て債券
515,外貨建て投資信託
516,外形標準課税
517,外国ETF
518,外国株式
519,外国為替先物予約
520,外国為替市場
521,外国為替平衡操作
522,外国為替
523,外国債
524,外国人投資家
525,外国投資信託
526,外需関連株
527,ガイダンスリスク
528,外部金融
529,額面金額
530,額面（債券）
531,合従連衡
532,合併比率
533,合併
534,ガンジャンピング規制
535,元本
536,ガンマ
537,機械受注統計
538,機械受注
539,機関投資家
540,企業会計基準委員会
541,企業会計原則
542,企業価値評価
543,企業行動に関するアンケート調査
544,企業再生
545,企業年金連合会
546,企業年金
547,企業の将来価値
548,企業の物価見通し
549,企業物価指数
550,企業向けサービス価格指数
551,起債
552,期先限月
553,基軸通貨
554,基準価額
555,基準地価
556,規制金利
557,規制銘柄
558,季節調整値
559,季節調整
560,規則144A
561,基礎年金
562,基礎率
563,期待インフレ率
564,キチンサイクル
565,期近限月
566,既得権益
567,記念配当
568,希薄化
569,既発債
570,キャッシュアウト
571,キャッシュフロー計算書
572,キャッシュフロー
573,キャッシュリッチ
574,キャッシュレス決済
575,キャッシュ・コンバージョン・サイクル
576,キャッシング
577,CATボンド
578,CAPM
579,キャップレート（還元利回り）
580,キャピタルゲイン課税
581,キャピタルゲイン
582,キャピタルフライト
583,キャリートレード
584,旧株
585,九州インデックス
586,急騰
587,ＱＥ２
588,強圧的二段階買付
589,教育資金の一括贈与
590,共益権
591,共済年金
592,強弱レシオ
593,強制加入
594,共創経営
595,協調融資
596,京都・滋賀インデックス
597,協同組織金融機関
598,共同発行地方債
599,恐怖指数
600,共分散
601,拠出限度額
602,拠出
603,居住者
604,寄与度
605,寄与分
606,記録関連業務
607,均一価格販売方式
608,金庫株
609,金地金
610,金本位制
611,金融緩和
612,金融経済月報
613,金融経済
614,金融再生プログラム
615,金融債
616,金融先物取引業者
617,金融市場と経済循環
618,金融収支
619,金融商品仲介業
620,金融商品取引業
621,金融商品取引法
622,金融政策決定会合
623,金融政策
624,金融相場
625,金融調節
626,金融の自由化
627,金融引き締め
628,金融ビッグバン
629,金融包摂
630,金融リテラシー
631,金利自由化
632,金利と為替
633,金利と景気
634,金利と物価
635,金利敏感株
636,金利リスク
637,金利
638,議決権行使助言会社
639,議決権
640,逆イールド
641,逆ウォッチ曲線
642,逆指値注文
643,逆三尊型
644,逆ザヤ
645,逆張り
646,逆日歩に買いなし
647,逆日歩
648,ギャップアップ
649,ギャップダウン
650,ギヤリングレシオ
651,業況判断DI
652,業種別株価指数
653,業績相場
654,業績予想
655,玉整理
656,玉
657,銀行間相場
658,銀行間預金市場
659,銀行代理店制度
660,銀行等保有株式取得機構
661,銀行
662,食い合い
663,クォートドリブン
664,クオンツ運用
665,クオンツ
666,くくり直し
667,鯨幕相場
668,クズネッツサイクル
669,クセトラ
670,口数
671,雲
672,クラウディングアウト
673,クラウドファンディング
674,クラウンジュエル
675,繰上償還（投資信託）
676,クリアストリーム
677,クリアリング機構
678,繰越欠損金
679,くりっく365
680,繰延資産
681,繰延税金資産
682,繰延税金負債
683,クレジットイベント
684,クレジットコスト
685,クレジットデリバティブ
686,クレジットと分散
687,クレジットリンク債
688,クレジット・ウォッチ
689,クレジット・スプレッド
690,クレジット・モニター
691,黒三兵
692,クロス取引
693,クロスボーダー取引
694,クロスレート
695,クローズドイノベーション
696,クローズドエンド型投資信託
697,クローズド期間
698,クーポン
699,偶発転換社債
700,グラマー・ストック
701,グリーン化特例
702,グリーンシューオプション
703,グリーンシート市場
704,グリーンボンド
705,グリーンメーラー
706,グリーンメール
707,グレグジット
708,グレタイ証券市場
709,グレートローテーション
710,グレートモデレーション
711,グレーマーケット
712,グロース市場
713,グロース投資
714,グロースファンド
715,グローバルオファリング
716,グローバル株式
717,グローバル債券
718,グローバル投資パフォーマンス基準
719,グローバルボンドプラス
720,グローバル・マクロ運用
721,グローバル・コーディネーター
722,GLOBEX
723,経営参加権
724,経過利子
